,episode,alizarin_crimson,bright_red,cadmium_yellow,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,black_gesso,burnt_umber,indian_yellow,phthalo_blue,yellow_ochre,liquid_black,midnight_black,liquid_clear,dark_sienna,indian_red
375,S29E12,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
376,S29E13,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
377,S30E01,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
378,S30E02,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
379,S30E03,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
380,S30E04,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
381,S30E05,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0
382,S30E06,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
383,S30E07,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
384,S30E08,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
385,S30E09,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0
386,S30E10,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0
387,S30E11,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
388,S30E12,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0
389,S30E13,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
390,S31E01,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
391,S31E02,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
392,S31E03,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0
393,S31E04,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
394,S31E05,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
395,S31E06,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
396,S31E07,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
397,S31E08,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
398,S31E09,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
399,S31E10,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0
400,S31E11,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
401,S31E12,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
402,S31E13,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
